#https://volby.cz/pls/ps2013/ps111?xjazyk=CZ&xkraj=1&xstrana=0&xv=1&xt=1
cislo;strana;porc;jmeno;vek;nav;pol;abs;rel;man;porman
15;SPOZ;23;Abt Jaroslav;40;SPOZ;SPOZ;8;0,14;-;-
1;»SSD;3;Ad·mek Frantiöek Bc.;58;»SSD;»SSD;2492;3,01;*;4
16;OB»_2011;10;Ad·mek Karel Ing.;61;OB»_2011;BEZPP;12;2,63;-;-
16;OB»_2011;1;Ad·mek LudvÌk;58;OB»_2011;OB»_2011;33;7,25;-;-
16;OB»_2011;11;Ad·mek Luk·ö Bc.;28;OB»_2011;OB»_2011;12;2,63;-;-
4;TOP 09;6;Adamov· MarkÈta Ing.;29;TOP 09;TOP 09;3626;2,68;*;6
21;KS»M;11;Ambroû Pavel;55;KS»M;KS»M;317;0,63;-;9
15;SPOZ;16;Arbesov· Sandra Ing.;30;SPOZ;SPOZ;28;0,51;-;-
22;LEV 21;3;Babinec Bohdan MUDr. CSc.;69;LEV 21;LEV 21;43;11,43;-;-
20;ANO 2011;1;Babiö Andrej Ing.;59;ANO 2011;ANO 2011;18955;19,62;*;1
5;HLVZHŸRU;35;Bakal·¯ Robert Bc.;34;HLVZHŸRU;PSZ;17;0,65;-;-
3;Pir·ti;20;Bakovsk˝ Pavel;21;Pir·ti;Pir·ti;314;1,47;-;-
1;»SSD;35;Balab·n Miloö PhDr. Ph.D.;51;»SSD;»SSD;1105;1,33;-;31
23;SZ;33;Barta Jan;28;SZ;BEZPP;104;0,27;-;-
24;K»;2;B·rta Jan Ing. arch.;71;K»;K»;40;3,31;-;-
10;Ss»R;3;BartoÚov· P·lkov· Irena Mgr.;45;Ss»R;BEZPP;31;4,20;-;-
3;Pir·ti;1;Bartoö Ivan PhDr. PhD;33;Pir·ti;Pir·ti;3772;17,68;-;-
5;HLVZHŸRU;15;B·rtov· Petra Mgr.;49;HLVZHŸRU;SBB;49;1,89;-;-
6;ODS;13;Bartovsk˝ Tom·ö Mgr.;35;ODS;ODS;544;0,77;-;9
11;KDU-»SL;32;Bart˘öek Jan Mgr.;49;KDU-»SL;KDU-»SL;122;0,38;-;31
10;Ss»R;16;BaubÌn Petr Ing.;48;Ss»R;Ss»R;7;0,94;-;-
13;Suveren.;35;Bayerov· Veronika;43;Suveren.;BEZPP;2;0,25;-;-
12;PB;13;BeËka Jan;35;PB;BEZPP;5;0,40;-;-
9;ZmÏna;17;Bedn·¯ Jan;34;ZmÏna;HS;24;0,54;-;-
2;SvobodnÌ;3;Bedn·¯ Miloslav prof. PhDr. CSc.;65;SvobodnÌ;SvobodnÌ;1249;5,69;-;-
15;SPOZ;13;Bejlovec Ji¯Ì Bc.;23;SPOZ;SPOZ;81;1,49;-;-
13;Suveren.;18;Beladov· Eva;52;Suveren.;BEZPP;8;1,00;-;-
6;ODS;20;Bellu Alexander Bc.;26;ODS;ODS;703;0,99;-;16
1;»SSD;9;BeÚ·k David Mgr. DiS.;34;»SSD;»SSD;2275;2,75;-;6
24;K»;33;BenËok Michal;62;K»;BEZPP;28;2,32;-;-
6;ODS;10;Benda Marek;44;ODS;ODS;5336;7,58;*;4
20;ANO 2011;32;Bendov· Jarmila Ing.;48;ANO 2011;ANO 2011;327;0,33;-;27
17;⁄svit;20;Benek VÌtÏzslav;51;⁄svit;BEZPP;58;0,30;-;19
16;OB»_2011;4;Beneö Frantiöek;54;OB»_2011;OB»_2011;15;3,29;-;-
21;KS»M;18;Beneö Frantiöek Ing. CSc.;69;KS»M;KS»M;738;1,47;-;16
16;OB»_2011;8;Beneöov· Petra Ing.;29;OB»_2011;OB»_2011;24;5,27;-;-
12;PB;2;Ben˝öek Ji¯Ì;23;PB;BEZPP;36;2,93;-;-
23;SZ;24;Ben˝ökov· Helena;32;SZ;SZ;181;0,47;-;-
16;OB»_2011;3;Beranov· Monika;51;OB»_2011;OB»_2011;20;4,39;-;-
24;K»;31;Bernard Darius;47;K»;BEZPP;4;0,33;-;-
22;LEV 21;1;Bernardov· Tereza Bc.;31;LEV 21;LEV 21;18;4,78;-;-
9;ZmÏna;12;BiË·kov· Vlasta;39;ZmÏna;KH;51;1,15;-;-
15;SPOZ;9;BÌlek VÌtÏzslav;68;SPOZ;SPOZ;34;0,62;-;-
13;Suveren.;4;Blaöko Marek Ing.;37;Suveren.;BEZPP;27;3,38;-;-
6;ODS;11;Blaûek Frantiöek;48;ODS;ODS;891;1,26;-;7
20;ANO 2011;17;Bockov· Romana Ing.;46;ANO 2011;ANO 2011;509;0,52;-;12
24;K»;5;Bohdaneck˝ ZdenÏk;36;K»;K»;15;1,24;-;-
4;TOP 09;34;Bonhomme Hankeov· Zuzana MUDr. MIB;54;TOP 09;TOP 09;1139;0,84;-;27
22;LEV 21;13;Bouzek Petr Ing. MUDr.;52;LEV 21;LEV 21;5;1,32;-;-
24;K»;23;Brabec Ji¯Ì;64;K»;BEZPP;4;0,33;-;-
17;⁄svit;3;Brandeisov· SoÚa;70;⁄svit;BEZPP;413;2,20;-;2
